product_id,order_id,quantity,expiration_date,unit_price
1,140ead02-1500-4660-897e-8773e7c34a6f,18,2024-08-21,3.04
2,140ead02-1500-4660-897e-8773e7c34a6f,100,2025-02-27,42.15
3,140ead02-1500-4660-897e-8773e7c34a6f,93,2024-11-24,72.48
4,140ead02-1500-4660-897e-8773e7c34a6f,94,2025-05-22,82.37
5,140ead02-1500-4660-897e-8773e7c34a6f,76,2024-08-05,86.02
4,849766ff-6b13-4de9-8169-e3cfb6832bbe,5,2025-05-20,3.74
6,849766ff-6b13-4de9-8169-e3cfb6832bbe,58,2025-11-13,93.59
7,849766ff-6b13-4de9-8169-e3cfb6832bbe,95,2026-01-06,2.5
8,849766ff-6b13-4de9-8169-e3cfb6832bbe,45,2025-12-13,49.83
9,849766ff-6b13-4de9-8169-e3cfb6832bbe,45,2025-11-12,70.27
10,4f83ccd2-5dad-4420-89c2-8365a60846d4,69,2024-07-10,50.7
11,4f83ccd2-5dad-4420-89c2-8365a60846d4,41,2024-09-08,49.22
12,4f83ccd2-5dad-4420-89c2-8365a60846d4,20,2025-02-07,18.53
13,4f83ccd2-5dad-4420-89c2-8365a60846d4,93,2024-12-08,30.18
10,4f83ccd2-5dad-4420-89c2-8365a60846d4,47,2025-06-01,69.27
14,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,4,2025-10-17,6.19
15,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,95,2025-05-10,20.79
8,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,16,2025-03-23,48.19
16,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,39,2025-08-18,44.15
17,1fcd017d-8cdb-4901-b874-39e43b3bbb0b,66,2026-02-09,6.26
18,a088b206-5765-4a0d-b384-1ed9dc274246,49,2025-11-21,19.36
10,a088b206-5765-4a0d-b384-1ed9dc274246,79,2025-06-23,75.54
12,a088b206-5765-4a0d-b384-1ed9dc274246,33,2025-11-25,82.97
19,a088b206-5765-4a0d-b384-1ed9dc274246,34,2025-08-31,95.81
20,a088b206-5765-4a0d-b384-1ed9dc274246,36,2025-09-13,86.65
7,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,4,2026-03-21,55.89
21,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,63,2025-08-24,71.51
2,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,2,2025-11-30,9.63
16,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,93,2025-06-08,47.08
22,0cbbbc5b-b146-4449-83e2-f7e3b2adcbd7,74,2025-10-06,93.34
23,cd963182-f3de-464d-87a1-6cbaa08a6be5,41,2025-08-15,10.39
24,cd963182-f3de-464d-87a1-6cbaa08a6be5,13,2025-03-03,50.77
18,cd963182-f3de-464d-87a1-6cbaa08a6be5,65,2025-09-10,46.09
2,cd963182-f3de-464d-87a1-6cbaa08a6be5,83,2025-03-22,91.54
25,cd963182-f3de-464d-87a1-6cbaa08a6be5,13,2024-10-26,49.76
7,f6c6e797-4799-4dda-aca1-1e39377a6ba2,35,2025-08-08,22.84
14,f6c6e797-4799-4dda-aca1-1e39377a6ba2,21,2026-01-14,39.66
26,f6c6e797-4799-4dda-aca1-1e39377a6ba2,54,2026-02-08,54.39
5,f6c6e797-4799-4dda-aca1-1e39377a6ba2,19,2026-02-18,8.37
27,f6c6e797-4799-4dda-aca1-1e39377a6ba2,25,2025-08-16,68.13
28,85911ba6-8f8d-4336-bbbc-b9ff3181d608,59,2025-04-09,16.85
26,85911ba6-8f8d-4336-bbbc-b9ff3181d608,11,2025-10-02,17.07
8,85911ba6-8f8d-4336-bbbc-b9ff3181d608,9,2025-10-15,40.64
9,85911ba6-8f8d-4336-bbbc-b9ff3181d608,19,2025-06-22,75.58
8,85911ba6-8f8d-4336-bbbc-b9ff3181d608,10,2025-04-02,83.64
